,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.09.2011....16.49..,258,09/09/2011 16:49,16.844,3.6,,,,,09/09/2011,1649
c..09.09.2011....17.19..,259,09/09/2011 17:19,16.796,3.6,,,,,09/09/2011,1719
c..09.09.2011....17.49..,260,09/09/2011 17:49,16.773,3.6,,,,,09/09/2011,1749
c..09.09.2011....18.19..,261,09/09/2011 18:19,16.654,3.6,,,,,09/09/2011,1819
c..09.09.2011....18.49..,262,09/09/2011 18:49,16.534,3.6,,,,,09/09/2011,1849
c..09.09.2011....19.19..,263,09/09/2011 19:19,16.296,3.6,,,,,09/09/2011,1919
c..09.09.2011....19.49..,264,09/09/2011 19:49,16.225,3.6,,,,,09/09/2011,1949
c..09.09.2011....20.19..,265,09/09/2011 20:19,15.986,3.6,,,,,09/09/2011,2019
c..09.09.2011....20.49..,266,09/09/2011 20:49,15.748,3.6,,,,,09/09/2011,2049
c..09.09.2011....21.19..,267,09/09/2011 21:19,15.581,3.6,,,,,09/09/2011,2119
c..09.09.2011....21.49..,268,09/09/2011 21:49,15.724,3.6,,,,,09/09/2011,2149
c..09.09.2011....22.19..,269,09/09/2011 22:19,15.39,3.6,,,,,09/09/2011,2219
c..09.09.2011....22.49..,270,09/09/2011 22:49,15.414,3.6,,,,,09/09/2011,2249
c..09.09.2011....23.19..,271,09/09/2011 23:19,15.318,3.6,,,,,09/09/2011,2319
c..09.09.2011....23.49..,272,09/09/2011 23:49,15.533,3.57,,,,,09/09/2011,2349
c..09.10.2011....00.19..,273,09/10/2011 00:19,15.485,3.6,,,,,10/09/2011,19
c..09.10.2011....00.49..,274,09/10/2011 00:49,14.936,3.63,,,,,10/09/2011,49
c..09.10.2011....01.19..,275,09/10/2011 01:19,15.199,3.6,,,,,10/09/2011,119
c..09.10.2011....01.49..,276,09/10/2011 01:49,15.366,3.6,,,,,10/09/2011,149
c..09.10.2011....02.19..,277,09/10/2011 02:19,15.7,3.6,,,,,10/09/2011,219
c..09.10.2011....02.49..,278,09/10/2011 02:49,15.533,3.6,,,,,10/09/2011,249
c..09.10.2011....03.19..,279,09/10/2011 03:19,15.39,3.6,,,,,10/09/2011,319
